occupation,mean_log_Male,mean_log_Female,n_Male,n_Female,gap_pct,pct_female
Armed Forces,2.7571212809152663,2.41527208643317,27,1,-28.95,3.6
Skilled Manufacturing Workers,2.5931406223285527,2.2923875361507116,17462,3809,-25.97,17.9
Stationary Plant and Machine Operators,2.678883867447443,2.3871718674347076,7837,2019,-25.3,20.5
Managers and Directors,3.666788501158341,3.430020902886397,5074,2640,-21.08,34.2
Protective and Security Services,2.5981545304398925,2.3615436042884252,4669,890,-21.07,16
Health and Care Services,2.501578270385171,2.2759394775255073,3519,10593,-20.2,75.1
Elementary Laborers (Agri/Const/Manuf),2.3396148399056145,2.147565107613125,10852,3830,-17.47,26.1
Associate Professionals,2.885985024319442,2.7040747312078848,22330,15669,-16.63,41.2
Science and Engineering Professionals,3.134862267905986,2.956064420712435,14722,13235,-16.37,47.3
Elementary Service Occupations,2.326837161960283,2.153685395093004,4833,9955,-15.9,67.3
Health and Education Professionals,3.193741710366844,3.0437126682202345,5225,11464,-13.93,68.7
Mobile Plant Operators and Drivers,2.499488279385782,2.3612600448680787,8997,458,-12.91,4.8
Office Clerks (Back Office),2.736482982182085,2.6013825324251028,6102,8699,-12.64,58.8
"Skilled Agri, Forest and Fishery",2.4453096625416038,2.314418964963014,707,93,-12.27,11.6
Sales and Catering Workers,2.348315355893022,2.228214138482909,5100,9435,-11.32,64.9
Customer Service Clerks,2.5108123282982273,2.392846164400557,4900,11877,-11.13,70.8
Skilled Construction Workers,2.4509072969224177,2.371274770374676,5459,195,-7.65,3.4
